Имя товара;Цена;Ссылка
Мороженое Коровка из Кореновки пломбир крем-брюле стаканчик БЗМЖ 100 г;114.99;https://kuper.ru/products/53001-morozhenoe-korovka-iz-korenovki-plombir-krem-bryule-stakanchik-bzmzh-100-g
Мороженое Магнат шоколадный трюфель эскимо БЗМЖ 72 г;129;https://kuper.ru/products/35007-morozhenoe-magnat-shokoladnyy-tryufel-eskimo-bzmzh-72-g
Мороженое пломбир Чистая линия Пломбироешка ваниль БЗМЖ 450 г;779.99;https://kuper.ru/products/42098-morozhenoe-plombir-chistaya-liniya-plombiroeshka-vanil-bzmzh-450-g
Мороженое пломбир Чистая линия шоколад БЗМЖ 80 г;149.99;https://kuper.ru/products/52836-morozhenoe-plombir-chistaya-liniya-shokolad-bzmzh-80-g
Яйцо куриное Русово СО 15 шт;159.99;https://kuper.ru/products/1383163-yaytso-kurinoe-rusovo-so-15-sht-e063043
Яйцо куриное столовое С1 10 шт;83;https://kuper.ru/products/1313466-yaytso-kurinoe-stolovoe-s1-10-sht-4557ce0
Яйцо куриное Тульская С1 10 шт;107.99;https://kuper.ru/products/37888835-yaytso-kurinoe-tul-skaya-s1-10-sht-5973b2b
Яйцо куриное Тульская СО 10 шт;129.99;https://kuper.ru/products/36350150-yaytso-kurinoe-tul-skaya-so-10-sht-d7ee0c0
Яйцо куриное Ко-Коль Чики Деревенское С1 10 шт;99.99;https://kuper.ru/products/34544163-yaytso-kurinoe-ko-kol-chiki-derevenskoe-s1-10-sht-3314ae1
Яйцо куриное СО 10 шт в ассортименте (цвет по наличию);91;https://kuper.ru/products/24402274-yaytso-kurinoe-so-10-sht-v-assortimente-tsvet-po-nalichiyu
Яйцо куриное Чамзинская птицефабрика С2 10 шт;74;https://kuper.ru/products/23827009-yaytso-kurinoe-chamzinskaya-ptitsefabrika-s2-10-sht
Яйцо куриное СО 10 шт;112;https://kuper.ru/products/21586407-yaytso-kurinoe-so-10-sht-c6152b9
Яйцо куриное Лето CО коричневое 20 шт;279;https://kuper.ru/products/18942513-yaytso-kurinoe-leto-co-korichnevoe-20-sht
Яйцо куриное Лето С1 20 шт;228;https://kuper.ru/products/15169373-yaytso-kurinoe-leto-s1-20-sht-6f68016
Майонез Я люблю готовить Провансаль 67% 700 мл;217;https://kuper.ru/products/20533921-mayonez-ya-lyublyu-gotovit-provansal-67-700-ml
Майонез Слобода Оливковый 67% 100 мл;31.99;https://kuper.ru/products/225928-mayonez-sloboda-olivkovyy-67-100-ml
Майонез Слобода Провансаль 67% 800 мл;189;https://kuper.ru/products/31334-mayonez-sloboda-provansal-67-800-ml-4eef138
Майонез Слобода Оливковый 67% 800 мл;169.99;https://kuper.ru/products/133920-mayonez-sloboda-olivkovyy-67-800-ml-0e7d9e1
Майонез Master Gurme Провансаль 50,5% 700 мл;149.99;https://kuper.ru/products/22439051-mayonez-master-gurme-provansal-50-5-700-ml
Майонез Махеевъ Провансаль с лимонным соком 67% 380 г;109.99;https://kuper.ru/products/247061-mayonez-maheev-provansal-s-limonnym-sokom-67-380-g-f88b656
Майонез Mr.Ricco Провансаль 67% 340 г;94.99;https://kuper.ru/products/25451191-mayonez-mr-ricco-provansal-67-340-g
Майонез Я люблю готовить Домашний 55% 600 мл;178;https://kuper.ru/products/15091962-mayonez-ya-lyublyu-gotovit-domashniy-55-600-ml-38e7dc9
Майонез Я люблю готовить На перепелиных яйцах 67% 600 мл;249.99;https://kuper.ru/products/1504659-mayonez-ya-lyublyu-gotovit-na-perepelinyh-yaytsah-67-600-ml
Майонез Махеевъ Провансаль 50,5% 380 г;114;https://kuper.ru/products/31271-mayonez-maheev-provansal-50-5-380-g-c5c4403
Творог детский Агуша фруктовый с клубникой с 6 месяцев 3,9% 100 г;38.99;https://kuper.ru/products/34917856-tvorog-detskiy-agusha-fruktovyy-s-klubnikoy-s-6-mesyatsev-3-9-100-g-e1bb7e0
Йогурт питьевой Растишка бананово-клубничное мороженое 2,8% 190 мл;76.99;https://kuper.ru/products/32602404-yogurt-pitievoy-rastishka-bananovo-klubnichnoe-morozhenoe-2-8-190-ml-6e50588
Йогурт питьевой детский ФрутоНяня яблоко-банан с 8 месяцев 2,5% БЗМЖ 200 г;54;https://kuper.ru/products/36639-yogurt-pitievoy-detskiy-frutonyanya-yabloko-banan-s-8-mesyatsev-2-5-bzmzh-200-g-f53b591
